Tiempo en segundos: 0.7756948471
Posiciones finales de los cuerpos:
Cuerpo 203: px=-1.409255, py=1.640693, pz=-0.492764
Cuerpo 204: px=-1.495197, py=1.755382, pz=-0.330659
Cuerpo 205: px=-1.550073, py=1.823579, pz=-0.105455
Cuerpo 206: px=-1.987175, py=1.327092, pz=0.024162
Cuerpo 207: px=-1.954987, py=1.301103, pz=0.223396
Cuerpo 208: px=-1.874910, py=1.238453, pz=0.386799
Cuerpo 209: px=-1.746534, py=1.136339, pz=0.524402
Cuerpo 210: px=-1.602224, py=1.015491, pz=0.601960
Cuerpo 211: px=-1.459524, py=0.886752, pz=0.622895
Cuerpo 212: px=-1.312977, py=0.747846, pz=0.601064
Cuerpo 213: px=-1.185410, py=0.627413, pz=0.545281
Cuerpo 214: px=-1.030149, py=0.510665, pz=0.433053
Cuerpo 215: px=-0.905689, py=0.435833, pz=0.310395
Cuerpo 216: px=-0.840462, py=0.375292, pz=0.173989
Cuerpo 217: px=-0.819835, py=0.324002, pz=0.013970
Cuerpo 218: px=-0.827386, py=0.320487, pz=-0.068980
Cuerpo 219: px=-0.838922, py=0.391039, pz=-0.198284
Cuerpo 220: px=-0.906164, py=0.475340, pz=-0.346758
Cuerpo 221: px=-1.014562, py=0.581012, pz=-0.469791
Cuerpo 222: px=-1.155969, py=0.697373, pz=-0.564067
Cuerpo 223: px=-1.334003, py=0.832920, pz=-0.618012
Cuerpo 224: px=-1.525141, py=0.982465, pz=-0.615813
Cuerpo 225: px=-1.662221, py=1.089421, pz=-0.575402
Cuerpo 226: px=-1.794391, py=1.188037, pz=-0.478553
Cuerpo 227: px=-1.916956, py=1.277396, pz=-0.305598
Cuerpo 228: px=-1.979358, py=1.322257, pz=-0.103414
Cuerpo 229: px=-2.254395, py=0.752791, pz=0.001602
Cuerpo 230: px=-2.228575, py=0.745125, pz=0.181451
Cuerpo 231: px=-2.134372, py=0.712136, pz=0.355917
Cuerpo 232: px=-1.999104, py=0.662498, pz=0.494235
Cuerpo 233: px=-1.827650, py=0.596353, pz=0.575078
Cuerpo 234: px=-1.602999, py=0.505392, pz=0.613956
Cuerpo 235: px=-1.426023, py=0.423401, pz=0.587686
Cuerpo 236: px=-1.295169, py=0.348496, pz=0.534264
Cuerpo 237: px=-1.162024, py=0.273473, pz=0.451279
Cuerpo 238: px=-1.019138, py=0.222028, pz=0.323712
Cuerpo 239: px=-0.921051, py=0.174330, pz=0.165141
Cuerpo 240: px=-0.879429, py=0.160784, pz=0.004826
Cuerpo 241: px=-0.885063, py=0.164116, pz=-0.071692
Cuerpo 242: px=-0.938083, py=0.191609, pz=-0.190936
Cuerpo 243: px=-1.041342, py=0.230080, pz=-0.344508
Cuerpo 244: px=-1.153098, py=0.269310, pz=-0.445749
Cuerpo 245: px=-1.329509, py=0.350542, pz=-0.547028
Cuerpo 246: px=-1.530798, py=0.444980, pz=-0.602754
Cuerpo 247: px=-1.714705, py=0.528173, pz=-0.604485
Cuerpo 248: px=-1.910523, py=0.613382, pz=-0.541558
Cuerpo 249: px=-2.085554, py=0.686073, pz=-0.412619
